2014-06-18 00:00:00,New TFlex system.  Deployed at PA008.  JAK
2015-07-01 14:38:07,Recovered from PA008 6/16/15.  Evidence of water intrusion.  Salt crystals below RF antenna.  JAK
2017-06-30 14:21:25,Deployed PA011A 6/14/17 - PB
