2013-11-15,,Chassis built up and wired up.  Waiting for RIG boards to be stuffed.
2014-05-13,,Verified all mods made to circuit boards.  Removed solder bridge from JP24.
2014-05-14,,"Installed NEW circuit boards, RIG, MET, Serial, and CPU board. "
2014-05-15,,"Installed new firware version 1.12, 140211.  All data inputs tested okay.  RF modem tested okay. Formated new 2GB Flash Ram Card. Waiting to get SIM cards for Iridium Modem."
2014-05-29,,NEW SIM Card installed.
2014-06-03,23:30,Started current drain test with all sensors in Dog house outside of Bldg 3.
2014-06-05,16:30,Current drain Ave = 18.7mA
2014-08-12,,"Started test outside for Current meter test, adding 10 Norteks for deployment at 4N-23S to make sure data will come through okay."
2014-08-25,18:30,"Reset Current meter test, swapped out 5m, address 01 Nortek clock off.  Also changed Iridium First call to 00:36 because Eng/Diagnostic data not received."
2014-10-01,17:30,"Started test of actual instrumentation that will be used for PNE, 4N-23W, PI3-14-EN deployment.  Used as prime system."
2015-01-22,,"IM data failed on deck for Mike Strick during PI3-14-EN buoy setup.  Tested on deck okay, but IM data all went to 2E35 when buoy built up for deployment."
2015-04-14,,Loaded test cal file with one of each inductive sensor.  IM data worked okay with no problems.
2015-04-17,,"Took off CPU bd to change R4 and found salt residue on CPU board and really bad salt residue and corrosion on pins of ICs on the Serial board.  Cleaned up CPU board, but Serial bd needs to be replaced."
2015-04-20,,"Replaced Serial Board.  Updated firmware to version 1.12, 150313."
2015-04-22,,"Ran a 2 day current drain check with all sensors out in the doghouse, 16.68mA average."
2017-10-16,,"Back from sea, Rec IO2-17-IS, RT008, 8S-67E."
2017-10-19,,"Ran a 3 day current drain test, 13.83mA average."
,,"Updated firmware to version 2.10, 170530.  Changed Rain shield ground from seawater to power ground.  "
2017-10-19,,Tested GPS and XMIT commands outside successfully.
2017-10-19,,Changed O-rings.
2017-12-01,,"Tried to use for PI4-17, but Iridium XMIT command did not work."
2018-03-15,,Changed Iridium antenna cable.
2018-03-15,,Tested GPS and XMIT commands outside successfully with new Iridium antenna cable.
2018-05-03,,Installed SS metal circuit board standoffs on bottom stack.
