2016-06-09,,Completed build up of NEW system sn 0027.  Tested all sensor inputs successfully.  RF modem tested okay.  Installed new Iridium SIM card. Successfully tested GPS and XMIT functions with roof-mounted antennas connected inside lab.
2016-06-27,,"Ran Current drain test for 3 days, 14.65mA Average.  Dumped FLASH RAM data file, which looked okay."
,,Need to run GPS and XMIT test with system antennas (not roof antennas).
2016-10-18,,"Updated Firmware to v 1.16, 161014 for PI1-17-RB, to get German Oxygen sensor data for PI1-17-RB."
2018-11-17,,"LOST at 8N-90E, RT-014, Mooring vandalized.  Not found on site during IO3-18-SN."
