2017-08-23,,Built NEW.  Installed NEW Iridium SIM Card.
2017-08-28,,"Successfully tested all MET sensor inputs, RF modem, IM data, and GPS."
2017-08-31,,"Ran Bench current drain test for 3 days with version 2.01, 170530 firmware, RF modem turned off, 13.96mA Average."
2017-08-31,,"Tested internal Iridium antenna by doing an XMIT outside, which successfully registered and sent dummy files."
2017-11-17,,"PI4-17-RB Cruise delayed. Re-tasked 0048 for PI1-18-TH spare.  Changed firmware to v2.01, 170530."
