2016-06-30,,Completed build up of NEW system sn 0033.  Tested all sensor inputs successfully.  RF modem tested okay.  Installed new Iridium SIM card. Successfully tested GPS and XMIT functions with roof-mounted antennas connected inside lab.
2016-07-06,,"Ran Current drain test for  3 days, 15.2 mA Average.  Dumped FLASH RAM data file, which looked okay."
2016-07-06,,Need to run GPS and XMIT test with system antennas (not roof antennas).
2018-06-01,,"Back from French PIRATA, PI1-18-TH, 10S-10W, PT010. Data okay."
2018-08-13,,"Upgraded Firmware to version 2.01, 170530"
2018-08-13,,Changed Iridium 1st xmit time to 00:43
2018-08-13,,Installed metal SS standoffs at the bottom of the circuit board stack.
2018-08-20,,"Ran Current drain test for  6 days, 13.40 mA Average.  Dumped FLASH RAM data file, which looked okay."
2018-08-20,,"Installed NEW O-rings, face and jam seal."
2018-08-20,,Successfully tested the GPS and Iridium XMIT outside.
